nohup: ignoring input
SUCCESS: scrape tt0297181
SUCCESS: scrape tt1656190
ERROR: tt5254610
ERROR: tt4961380
SUCCESS: scrape tt0861739
SUCCESS: scrape tt0947810
SUCCESS: scrape tt2140037
SUCCESS: scrape tt1308729
SUCCESS: scrape tt1053424
SUCCESS: scrape tt0465602
SUCCESS: scrape tt7431594
SUCCESS: scrape tt0385307
ERROR: tt2393827
SUCCESS: scrape tt2614684
ERROR: tt6380520
SUCCESS: scrape tt1462900
SUCCESS: scrape tt1034389
SUCCESS: scrape tt3672742
SUCCESS: scrape tt2072230
ERROR: tt0461703
SUCCESS: scrape tt6777338
SUCCESS: scrape tt0450314
SUCCESS: scrape tt0999913
SUCCESS: scrape tt2238032
SUCCESS: scrape tt3735246
ERROR: tt7656570
SUCCESS: scrape tt1273678
SUCCESS: scrape tt1129442
SUCCESS: scrape tt1289406
ERROR: tt6288694
SUCCESS: scrape tt0367631
SUCCESS: scrape tt0450405
SUCCESS: scrape tt0266465
SUCCESS: scrape tt3208026
SUCCESS: scrape tt0408345
SUCCESS: scrape tt1430612
ERROR: tt6904272
SUCCESS: scrape tt0453556
SUCCESS: scrape tt5208950
SUCCESS: scrape tt1614989
SUCCESS: scrape tt2345737
SUCCESS: scrape tt0800308
SUCCESS: scrape tt0490086
SUCCESS: scrape tt0245562
SUCCESS: scrape tt1564585
SUCCESS: scrape tt1438173
ERROR: tt6878038
SUCCESS: scrape tt0366174
SUCCESS: scrape tt2330866
SUCCESS: scrape tt0317648
SUCCESS: scrape tt1712192
SUCCESS: scrape tt5737536
SUCCESS: scrape tt1788391
SUCCESS: scrape tt4575328
SUCCESS: scrape tt2091256
SUCCESS: scrape tt1458169
SUCCESS: scrape tt1542768
SUCCESS: scrape tt0313911
ERROR: tt5622412
SUCCESS: scrape tt1648216
SUCCESS: scrape tt5466186
SUCCESS: scrape tt0402901
SUCCESS: scrape tt1190536
SUCCESS: scrape tt7262882
ERROR: tt3458254
SUCCESS: scrape tt4669264
SUCCESS: scrape tt3247714
SUCCESS: scrape tt1436045
SUCCESS: scrape tt1219342
SUCCESS: scrape tt0456912
SUCCESS: scrape tt7133686
